casp_ed,target_id,chains,residues,atoms
9,T0515,1,348,2748
9,T0516,1,227,1847
9,T0517,1,159,1246
9,T0518,1,256,2032
9,T0520,1,173,1357
9,T0521,1,168,1377
9,T0522,1,134,1064
9,T0523,1,118,916
9,T0524,1,322,2597
9,T0525,1,205,1657
9,T0526,1,290,2292
9,T0527,1,131,1086
9,T0528,1,371,2799
9,T0529,1,515,4030
9,T0530,1,86,694
9,T0531,1,65,987
9,T0532,1,470,3739
9,T0533,1,306,2229
9,T0534,1,354,2749
9,T0536,1,126,987
9,T0537,1,339,2467
9,T0538,1,53,877
9,T0539,1,81,1199
9,T0540,1,90,716
9,T0541,1,106,1545
9,T0542,1,568,4320
9,T0543,1,783,6323
9,T0544,1,135,2113
9,T0545,1,153,2475
9,T0547,1,583,4701
9,T0548,1,95,787
9,T0549,1,74,1160
9,T0550,1,305,2457
9,T0551,1,67,542
9,T0552,1,98,1566
9,T0553,1,134,2159
9,T0555,1,147,2374
9,T0557,1,125,1918
9,T0558,1,274,2105
9,T0559,1,67,1078
9,T0560,1,64,1008
9,T0561,1,151,1248
9,T0562,1,123,1891
9,T0563,1,279,2225
9,T0564,1,61,989
9,T0565,1,304,2409
9,T0566,1,152,1252
9,T0567,1,142,1060
9,T0568,1,123,966
9,T0569,1,79,1116
9,T0570,1,237,1905
9,T0571,1,315,2447
9,T0572,1,88,1361
9,T0573,1,305,2375
9,T0574,1,102,749
9,T0575,1,216,1703
9,T0576,1,138,1097
9,T0578,1,156,1284
9,T0579,1,124,1877
9,T0580,1,104,789
9,T0581,1,112,864
9,T0582,1,221,1687
9,T0584,1,338,2533
9,T0585,1,226,1776
9,T0586,1,119,953
9,T0588,1,381,3028
9,T0589,1,431,3276
9,T0590,1,75,1119
9,T0591,1,396,3010
9,T0592,1,137,1085
9,T0593,1,195,1559
9,T0594,1,140,1137
9,T0596,1,174,1375
9,T0597,1,369,2912
9,T0598,1,145,1174
9,T0599,1,374,2902
9,T0600,1,106,873
9,T0601,1,442,3316
9,T0602,1,97,775
9,T0603,1,262,1997
9,T0604,1,534,4060
9,T0605,1,53,449
9,T0606,1,123,953
9,T0607,1,470,3672
9,T0608,1,250,1990
9,T0609,1,338,2713
9,T0610,1,179,1432
9,T0611,1,203,1687
9,T0612,1,109,832
9,T0613,1,285,2277
9,T0614,1,121,976
9,T0615,1,178,1435
9,T0616,1,99,814
9,T0617,1,142,1138
9,T0618,1,158,1266
9,T0619,1,101,843
9,T0620,1,293,2371
9,T0621,1,169,1358
9,T0622,1,122,956
9,T0623,1,220,1772
9,T0624,1,69,570
9,T0625,1,231,1770
9,T0626,1,283,2283
9,T0627,1,244,1935
9,T0628,1,295,2213
9,T0629,1,216,1552
9,T0630,1,99,813
9,T0632,1,155,1197
9,T0634,1,117,960
9,T0635,1,182,1406
9,T0636,1,321,2479
9,T0637,1,135,1066
9,T0638,1,218,1620
9,T0639,1,124,1002
9,T0640,1,232,1779
9,T0641,1,295,2287
9,T0643,1,73,591
10,T0644,1,141,1114
10,T0645,1,498,3939
10,T0648,1,86,660
10,T0649,1,184,1496
10,T0650,1,339,2591
10,T0651,1,254,2111
10,T0652,1,231,1854
10,T0653,1,383,3001
10,T0654,1,137,1059
10,T0655,1,150,1051
10,T0657,1,133,1043
10,T0658,1,521,4050
10,T0659,1,74,564
10,T0661,1,185,1444
10,T0662,1,76,571
10,T0663,1,152,1224
10,T0664,1,498,3932
10,T0665,1,48,805
10,T0666,1,180,1428
10,T0667,1,192,1516
10,T0668,1,78,650
10,T0669,1,97,711
10,T0671,1,391,3032
10,T0672,1,312,2471
10,T0673,1,62,482
10,T0674,1,295,2326
10,T0675,1,57,436
10,T0676,1,173,1382
10,T0677,1,116,864
10,T0678,1,154,1276
10,T0679,1,199,1590
10,T0680,1,96,722
10,T0681,1,191,1464
10,T0682,1,203,1621
10,T0683,1,371,2955
10,T0684,1,241,1959
10,T0685,1,209,1525
10,T0686,1,254,1993
10,T0687,1,200,1564
10,T0688,1,185,1421
10,T0689,1,211,1664
10,T0690,1,377,2884
10,T0691,1,141,1126
10,T0692,1,470,3608
10,T0693,1,319,2546
10,T0694,1,312,2371
10,T0696,1,100,785
10,T0697,1,458,3509
10,T0698,1,119,921
10,T0699,1,225,1825
10,T0700,1,35,277
10,T0701,1,316,2497
10,T0702,1,268,2016
10,T0703,1,272,2164
10,T0704,1,231,1770
10,T0705,1,440,3388
10,T0706,1,204,1571
10,T0707,1,321,5154
10,T0708,1,196,1491
10,T0709,1,24,145
10,T0710,1,194,1442
10,T0711,1,32,200
10,T0712,1,186,1468
10,T0713,1,374,2827
10,T0714,1,88,606
10,T0715,1,435,6540
10,T0716,1,51,412
