casp_ed,chains,residues,atoms,target_id,length,pdb_id
9,2,757,5523,T0515,365,3mt1
9,4,1715,8340,T0516,229,3no6
9,6,1149,7575,T0517,159,3pnx
9,1,464,2294,T0518,288,3nmb
9,3,577,4093,T0520,189,3mr7
9,1,230,1447,T0521,179,3mse
9,4,1026,4822,T0522,134,3nrd
9,2,326,1914,T0523,120,3mqo
9,2,1377,6033,T0524,325,3mwx
9,1,517,1974,T0525,215,3mqz
9,4,2277,10425,T0526,290,3nre
9,2,636,2660,T0527,142,3mr0
9,1,900,3343,T0528,388,3n0x
9,3,1873,12279,T0529,569,3mwt
9,2,307,1596,T0530,115,3npp
9,20,1300,19740,T0531,65,2kjx
9,2,1858,8429,T0532,506,3mx3
9,2,913,4768,T0533,313,3mwb
9,2,1909,6706,T0534,384,3n8u
9,1,314,2298,T0535,294,3mpx
9,4,492,3778,T0536,152,3mxq
9,1,788,2939,T0537,381,3n6z
9,20,1240,20780,T0538,54,2l09
9,20,1860,27400,T0539,81,2l0b
9,1,194,820,T0540,90,3mx7
9,20,2280,33760,T0541,106,2l0d
9,2,1190,8684,T0542,590,3n05
9,1,781,6207,T0543,887,2xrg
9,20,2860,45100,T0544,135,2l3w
9,20,3220,51700,T0545,158,2l3f
9,2,1343,9685,T0547,611,3nzp
9,2,230,1620,T0548,106,3nnq
9,1,386,2544,T0550,339,3nqk
9,2,183,1159,T0551,74,3obh
9,20,2600,41500,T0552,122,2l3b
9,14,2086,34132,T0553,141,2ky4
9,20,3100,50340,T0555,148,2l06
9,20,3060,46900,T0557,145,2kyy
9,1,646,2501,T0558,294,3no2
9,40,3080,50400,T0559,69,2l01
9,40,3280,51800,T0560,74,2l02
9,1,327,1494,T0561,161,2xse
9,20,2620,40660,T0562,123,2kzx
9,4,1789,9413,T0563,279,3on7
9,20,1940,31120,T0564,89,2l0c
9,2,1401,5633,T0565,326,3npf
9,2,438,2538,T0566,156,3n72
9,8,1003,7146,T0567,145,3n70
9,2,623,2319,T0568,158,3n6y
9,16,1392,20128,T0569,79,2kyw
9,1,540,2221,T0570,258,3no3
9,1,498,2676,T0571,344,3n91
9,10,1000,15710,T0572,93,2kxy
9,2,1473,5694,T0573,311,3oox
9,2,421,1749,T0574,126,3nrf
9,5,1212,8709,T0575,216,3nrg
9,4,688,4460,T0576,172,3na2
9,2,351,2510,T0578,164,3nat
9,20,2640,40400,T0579,124,2ky9
9,1,255,945,T0580,105,3nbm
9,1,245,1061,T0581,136,3npd
9,2,1024,4039,T0582,222,3o14
9,1,385,2604,T0584,352,3nf2
9,1,490,2066,T0585,234,3ne8
9,1,218,1057,T0586,125,3neu
9,1,812,3507,T0588,400,3nfv
9,2,958,6572,T0589,465,3net
9,20,2900,43460,T0590,137,2kzw
9,2,1427,6657,T0591,406,3nra
9,5,828,5480,T0592,144,3nhv
