casp_ed,target_id,target_id_orig,length
9,T0515,T0515,365
9,T0516,T0516,229
9,T0517,T0517,159
9,T0518,T0518,288
9,T0519,T0519,180
9,T0520,T0520,189
9,T0521,T0521,179
9,T0522,T0522,134
9,T0523,T0523,120
9,T0524,T0524,325
9,T0525,T0525,215
9,T0526,T0526,290
9,T0527,T0527,142
9,T0528,T0528,388
9,T0529,T0529,569
9,T0530,T0530,115
9,T0531,T0531,65
9,T0532,T0532,506
9,T0533,T0533,313
9,T0534,T0534,384
9,T0535,T0535,294
9,T0536,T0536,152
9,T0537,T0537,381
9,T0538,T0538,54
9,T0539,T0539,81
9,T0540,T0540,90
9,T0541,T0541,106
9,T0542,T0542,590
9,T0543,T0543,887
9,T0544,T0544,135
9,T0545,T0545,158
9,T0546,T0546,134
9,T0547,T0547,611
9,T0548,T0548,106
9,T0549,T0549,84
9,T0550,T0550,339
9,T0551,T0551,74
9,T0552,T0552,122
9,T0553,T0553,141
9,T0554,T0554,135
9,T0555,T0555,148
9,T0556,T0556,73
9,T0557,T0557,145
9,T0558,T0558,294
9,T0559,T0559,69
9,T0560,T0560,74
9,T0561,T0561,161
9,T0562,T0562,123
9,T0563,T0563,279
9,T0564,T0564,89
9,T0565,T0565,326
9,T0566,T0566,156
9,T0567,T0567,145
9,T0568,T0568,158
9,T0569,T0569,79
9,T0570,T0570,258
9,T0571,T0571,344
9,T0572,T0572,93
9,T0573,T0573,311
9,T0574,T0574,126
9,T0575,T0575,216
9,T0576,T0576,172
9,T0577,T0577,116
9,T0578,T0578,164
9,T0579,T0579,124
9,T0580,T0580,105
9,T0581,T0581,136
9,T0582,T0582,222
9,T0583,T0583,152
9,T0584,T0584,352
9,T0585,T0585,234
9,T0586,T0586,125
9,T0587,T0587,373
9,T0588,T0588,400
9,T0589,T0589,465
9,T0590,T0590,137
9,T0591,T0591,406
9,T0592,T0592,144
9,T0593,T0593,208
9,T0594,T0594,140
9,T0595,T0595,123
9,T0596,T0596,213
9,T0597,T0597,429
9,T0598,T0598,161
9,T0599,T0599,399
9,T0600,T0600,125
9,T0601,T0601,449
9,T0602,T0602,123
9,T0603,T0603,305
9,T0604,T0604,549
9,T0605,T0605,72
9,T0606,T0606,169
9,T0607,T0607,471
9,T0608,T0608,279
9,T0609,T0609,340
9,T0610,T0610,186
9,T0611,T0611,227
9,T0612,T0612,129
9,T0613,T0613,287
9,T0614,T0614,135
9,T0615,T0615,179
9,T0616,T0616,103
9,T0617,T0617,148
9,T0618,T0618,182
9,T0619,T0619,111
9,T0620,T0620,312
9,T0621,T0621,172
9,T0622,T0622,138
9,T0623,T0623,220
9,T0624,T0624,81
9,T0625,T0625,233
9,T0626,T0626,283
9,T0627,T0627,261
9,T0628,T0628,295
9,T0629,T0629,216
9,T0630,T0630,132
9,T0631,T0631,303
9,T0632,T0632,168
9,T0633,T0633,462
